id,title,content,processed_content,rating,sentiment_3_cls,sentiment_2_cls
9724102,Cực kì hài lòng,Gôd,gôd,5,positive,positive
19582868,Cực kì hài lòng,Hàng tốt,hàng tốt,5,positive,positive
17441069,Cực kì hài lòng,"Bàn phím chất lượng như hình ảnh. Độ nãy tốt.
Xứng tiền trong tầm giá. Sẽ giới thiệu bạn bè ủng hộ shop.",bàn phím chất lượng như hình ảnh độ nãy tốt xứng tiền trong tầm giá sẽ giới thiệu bạn bè ủng hộ shop,5,positive,positive
5373697,Rất không hài lòng,bàn phím loạn xị ngậu lên . chuột thì k sao còn bàn phím thì ấn 1 nút nó lên 3 chứ.. nhảy lung tung hết . em đang đề nghị shop đổi bộ khác cho em ngay và luôn,bàn phím loạn xị ngậu lên chuột thì không sao còn bàn phím thì ấn 1 nút nó lên 3 chứ nhảy lung tung hết em đang đề nghị cửa hàng đổi bộ khác cho em ngay và luôn,1,negative,negative
13821612,Cực kì hài lòng,"Mình thấy ảnh sản phẩm màu đen nên tưởng sẽ nhận tai nghe màu đen, nhưng cuối cùng lại là màu trắng. Dù vậy nhưng nghe rất ổn nên mình cho 5 sao",mình thấy ảnh sản phẩm màu đen nên tưởng sẽ nhận tai nghe màu đen nhưng cuối cùng lại là màu trắng dù vậy nhưng nghe rất ổn nên mình cho 5 sao,5,positive,positive
11619174,Bình thường,"đông hồ đẹp, nhiệt độ cũng gần đúng nhưng không bền, dùng khoảng 5, 6 tháng là bắt đầu có hiện tượng lag, ko hiện mh(ko phải do hết pin) đến h là 1 năm và đã hoàn toàn ko dùng được nữa.",đông hồ đẹp nhiệt độ cũng gần đúng nhưng không bền dùng khoảng 5 6 tháng là bắt đầu có hiện tượng lag không hiện mh ko phải do hết pin đến h là 1 năm và đã hoàn toàn không dùng được nữa,3,neutral,positive
19764142,Cực kì hài lòng,"Âm thanh nghe tốt, chống ồn thì bình thường, dây dài và dễ rối",âm thanh nghe tốt chống ồn thì bình thường dây dài và dễ rối,5,positive,positive
19778726,Rất không hài lòng,Với người khác thì mình ko biết còn riêng mình đánh giá sản phẩm quá tệ . Nếu ai có ý định mua thì nên cân nhắc lại . 1 cái bị lỗi shop cũng đã gửi đổi cái mới nhưng đc hơn 10 ngày sau chỉ tắm quên lột cái là bị vào nước rồi ( tắm vòi hoa sen ) hỏi cách đồng bộ danh bạ của điện thoại với đồng hồ cũng ko tư vấn khi có cuộc gọi đến chỉ hiện số chứ ko hiện tên . Nói chung là quá tệ mọi người nên cân nhắc nếu có ý định mua,với người khác thì mình không biết còn riêng mình đánh giá sản phẩm quá tệ nếu ai có ý định mua thì nên cân nhắc lại 1 cái bị lỗi cửa hàng cũng đã gửi đổi cái mới nhưng được hơn 10 ngày sau chỉ tắm quên lột cái là bị vào nước rồi tắm vòi hoa sen hỏi cách đồng bộ danh bạ của điện thoại với đồng hồ cũng không tư vấn khi có cuộc gọi đến chỉ hiện số chứ không hiện tên nói chung là quá tệ mọi người nên cân nhắc nếu có ý định mua,1,negative,negative
13471798,Rất không hài lòng,Treo dê bán chó không giống như hình yêu cầu đổi trả và xử lý shop lừa đảo,treo dê bán chó không giống như hình yêu cầu đổi trả và xử lý cửa hàng lừa đảo,1,negative,negative
15757033,Cực kì hài lòng,"chuột dùng tốt, có led, phím  ko nặng cũng ko nhẹ, vừa tay",chuột dùng tốt có led phím không nặng cũng không nhẹ vừa tay,5,positive,positive
