id,title,content,processed_content,rating,sentiment_3_cls,sentiment_2_cls
4602722,Không hài lòng,"Chuột lúc ms mua về sài khá tốt, nhưng khi sài đc 3 tuần thì bắt đầu bị lỗi kết nối, cắm chuột vào laptop k chạy đc nữa, tôi thực sự rất thất vọng, dù đã sửa mọi lỗi usb và thử cắm nhiều lỗ khác nhau.",chuột lúc mới mua về xài khá tốt nhưng khi xài được 3 tuần thì bắt đầu bị lỗi kết nối cắm chuột vào laptop không chạy được nữa tôi thực sự rất thất vọng dù đã sửa mọi lỗi usb và thử cắm nhiều lỗ khác nhau,2,negative,negative
12208558,Bình thường,"Rất dễ đổ, dùng ổn………………………….",rất dễ đổ dùng ổn,3,neutral,positive
16052885,Cực kì hài lòng,"phím nẩy gõ rất đã,tiếng kêu khá nhỏ,đóng gói hàng cẩn thận",phím nẩy gõ rất đã tiếng kêu khá nhỏ đóng gói hàng cẩn thận,5,positive,positive
16167108,Bình thường,Khá tốt so với tiền bỏ ra,khá tốt so với tiền bỏ ra,3,neutral,positive
12999685,Bình thường,Mình đặt màu đen lại gửi màu trắng. Mình để 3 sao cho sự nhầm lẫn,mình đặt màu đen lại gửi màu trắng mình để 3 sao cho sự nhầm lẫn,3,neutral,positive
14606117,Rất không hài lòng,"tui moi mua cai dh o sop nay duoc 2 bua  
sai duoc hai bua thi mang hinh bi soc gio khong con nhin thay gi duoc nua nt cho sop de hoi thi khong thay tra loi.may bn nao ma muon mua dh o sop nay thi can nhac cho ki de tien mat tac mang ,cai dh tui mua o sop nay la 1trieu mot sai duoc 2 bua .noi top lai sop nay la sop lua đâu ae dung nen mua.",tui moi mua cai dh o cửa hàng nay duoc 2 bua sai duoc hai bua thi mang hinh bi soc gio không con nhin thay gi duoc nua nhắn tin cho cửa hàng de hoi thi không thay tra loi may bạn nao ma muon mua dh o cửa hàng nay thi can nhac cho ki de tien mat tac mang cai dh tui mua o cửa hàng nay la 1trieu mot sai duoc 2 bua noi top lai cửa hàng nay la cửa hàng lua đâu anh em dung nen mua,1,negative,negative
13905196,Cực kì hài lòng,"okokokokokokokokokokokokok sp rất ok, giá tốt",okokokokokokokokokokokokok sản phẩm rất ok giá tốt,5,positive,positive
18412162,Cực kì hài lòng,"Rất tốt, đẹp.",rất tốt đẹp,5,positive,positive
19860806,Cực kì hài lòng,"Nghe ổn nha, có hộp đựng, hy vọng bền nữa thì ok",nghe ổn nha có hộp đựng hy vọng bền nữa thì ok,5,positive,positive
16090627,Cực kì hài lòng,Sp ok nên mua,sản phẩm ok nên mua,5,positive,positive
11262366,Hài lòng,"giao hàng nhanh, đồng hồ đẹp và chắc chắn, shop tư vấn và đổi trả hàng nhanh, nhiệt tình, tuy nhiên sau khi đổi cái mới thì kết nối với app trên điện thoại vẫn có 1 vài tính năng không sử dụng được như chụp ảnh gửi về điện thoại. dù sao cũng tạm chấp nhận vậy, cảm ơn shop.",giao hàng nhanh đồng hồ đẹp và chắc chắn cửa hàng tư vấn và đổi trả hàng nhanh nhiệt tình tuy nhiên sau khi đổi cái mới thì kết nối với app trên điện thoại vẫn có 1 vài tính năng không sử dụng được như chụp ảnh gửi về điện thoại dù sao cũng tạm chấp nhận vậy cảm ơn shop,4,positive,positive
18019279,Cực kì hài lòng,"Đúng quảng cáo, giao hàng nhanh",đúng quảng cáo giao hàng nhanh,5,positive,positive
19112036,Bình thường,"GPS định vị không chính xác trên app, sai lệch hơn 500m",gps định vị không chính xác trên app sai lệch hơn 500m,3,neutral,positive
9966750,Không hài lòng,"mic không nhận.
yêu cầu đổi trả!",mic không nhận yêu cầu đổi trả,2,negative,negative
19556506,Cực kì hài lòng,đồng hồ này sạc chỗ nào vậy shop hướng dẫn giúp e,đồng hồ này sạc chỗ nào vậy cửa hàng hướng dẫn giúp em,5,positive,positive
